year,parent_entity,parent_type,total_emissions_MtCO2e
1962,Abu Dhabi National Oil Company,State-owned Entity,0.49824004293295399000
1963,Abu Dhabi National Oil Company,State-owned Entity,1.05022217067969536000
1964,Abu Dhabi National Oil Company,State-owned Entity,4.17401764031188760000
1965,Abu Dhabi National Oil Company,State-owned Entity,6.19384885445059760000
1966,Abu Dhabi National Oil Company,State-owned Entity,7.56204993225597460000
1967,Abu Dhabi National Oil Company,State-owned Entity,7.99871172933415760000
1968,Abu Dhabi National Oil Company,State-owned Entity,10.12602711310044080000
1969,Abu Dhabi National Oil Company,State-owned Entity,12.31828330200544070000
1970,Abu Dhabi National Oil Company,State-owned Entity,14.18472442274377250000
1971,Abu Dhabi National Oil Company,State-owned Entity,19.00253603834800500000
1972,Abu Dhabi National Oil Company,State-owned Entity,20.94175412526603500000
1973,Abu Dhabi National Oil Company,State-owned Entity,54.03509838132456700000
1974,Abu Dhabi National Oil Company,State-owned Entity,127.56894500929051700000
1975,Abu Dhabi National Oil Company,State-owned Entity,126.14208265065049300000
1976,Abu Dhabi National Oil Company,State-owned Entity,145.66152218733238700000
1977,Abu Dhabi National Oil Company,State-owned Entity,154.82500305767901300000
1978,Abu Dhabi National Oil Company,State-owned Entity,140.22852348945567900000
1979,Abu Dhabi National Oil Company,State-owned Entity,143.49902359673235000000
1980,Abu Dhabi National Oil Company,State-owned Entity,135.84393566678834500000
1981,Abu Dhabi National Oil Company,State-owned Entity,121.74272077655630000000
1982,Abu Dhabi National Oil Company,State-owned Entity,103.64986995446191000000
1983,Abu Dhabi National Oil Company,State-owned Entity,96.72316597978736000000
1984,Abu Dhabi National Oil Company,State-owned Entity,97.50877020317248800000
1985,Abu Dhabi National Oil Company,State-owned Entity,97.44740743407728000000
1986,Abu Dhabi National Oil Company,State-owned Entity,142.46940331679163600000
1987,Abu Dhabi National Oil Company,State-owned Entity,187.46692260642256000000
1988,Abu Dhabi National Oil Company,State-owned Entity,181.57305311127883500000
1989,Abu Dhabi National Oil Company,State-owned Entity,247.62357195748627000000
1990,Abu Dhabi National Oil Company,State-owned Entity,273.11435451940613400000
1991,Abu Dhabi National Oil Company,State-owned Entity,328.62562622738866600000
1992,Abu Dhabi National Oil Company,State-owned Entity,310.86164868523302000000
1993,Abu Dhabi National Oil Company,State-owned Entity,304.51468627473835000000
1994,Abu Dhabi National Oil Company,State-owned Entity,321.22307311374947000000
1995,Abu Dhabi National Oil Company,State-owned Entity,317.89637740541739000000
1996,Abu Dhabi National Oil Company,State-owned Entity,317.30965345299554000000
1997,Abu Dhabi National Oil Company,State-owned Entity,334.32225572110307000000
1998,Abu Dhabi National Oil Company,State-owned Entity,361.21322819749012600000
1999,Abu Dhabi National Oil Company,State-owned Entity,343.13515320617472000000
2000,Abu Dhabi National Oil Company,State-owned Entity,352.52090848170540000000
2001,Abu Dhabi National Oil Company,State-owned Entity,345.89794924263458000000
2002,Abu Dhabi National Oil Company,State-owned Entity,332.78495744252834000000
2003,Abu Dhabi National Oil Company,State-owned Entity,358.86651130718832000000
2004,Abu Dhabi National Oil Company,State-owned Entity,377.11281813415377000000
2005,Abu Dhabi National Oil Company,State-owned Entity,428.03971010869885000000
2006,Abu Dhabi National Oil Company,State-owned Entity,454.39745609480164000000
2007,Abu Dhabi National Oil Company,State-owned Entity,439.45569490000334000000
2008,Abu Dhabi National Oil Company,State-owned Entity,455.23134764548798000000
2009,Abu Dhabi National Oil Company,State-owned Entity,405.90544145577970000000
2010,Abu Dhabi National Oil Company,State-owned Entity,416.30205929871766000000
2011,Abu Dhabi National Oil Company,State-owned Entity,482.10270555010158000000
2012,Abu Dhabi National Oil Company,State-owned Entity,520.92344888875338000000
2013,Abu Dhabi National Oil Company,State-owned Entity,538.53373744581913000000
2014,Abu Dhabi National Oil Company,State-owned Entity,542.82692844036014000000
2015,Abu Dhabi National Oil Company,State-owned Entity,565.95905666278890000000
2016,Abu Dhabi National Oil Company,State-owned Entity,579.95476879002912000000
2017,Abu Dhabi National Oil Company,State-owned Entity,628.28433289838420000000
2018,Abu Dhabi National Oil Company,State-owned Entity,692.40347896827330000000
2019,Abu Dhabi National Oil Company,State-owned Entity,728.98221306479497000000
2020,Abu Dhabi National Oil Company,State-owned Entity,705.47238723850790000000
2021,Abu Dhabi National Oil Company,State-owned Entity,705.47238723850790000000
2022,Abu Dhabi National Oil Company,State-owned Entity,705.47238723850790000000
2012,Adani Enterprises,Investor-owned Company,8.07636177449011000000
2013,Adani Enterprises,Investor-owned Company,8.25807991441613600000
2014,Adani Enterprises,Investor-owned Company,15.99119631349041800000
2015,Adani Enterprises,Investor-owned Company,20.91777699592938300000
2016,Adani Enterprises,Investor-owned Company,23.11858557947794000000
2017,Adani Enterprises,Investor-owned Company,22.51285844639118000000
2018,Adani Enterprises,Investor-owned Company,34.12262849722071000000
2019,Adani Enterprises,Investor-owned Company,26.77515837287833400000
2020,Adani Enterprises,Investor-owned Company,31.74010177374613300000
2021,Adani Enterprises,Investor-owned Company,54.07124208021129000000
2022,Adani Enterprises,Investor-owned Company,70.46625648242620000000
1992,Adaro Energy,Investor-owned Company,2.01909044362252740000
1993,Adaro Energy,Investor-owned Company,2.82672662107153850000
1994,Adaro Energy,Investor-owned Company,4.84581706469406550000
1995,Adaro Energy,Investor-owned Company,11.10499743992390000000
1996,Adaro Energy,Investor-owned Company,17.36417781515373400000
1997,Adaro Energy,Investor-owned Company,18.97945017005176000000
1998,Adaro Energy,Investor-owned Company,22.00808583548555000000
1999,Adaro Energy,Investor-owned Company,27.45963003326637000000
2000,Adaro Energy,Investor-owned Company,31.29590187614917300000
2001,Adaro Energy,Investor-owned Company,35.73790085211873400000
2002,Adaro Energy,Investor-owned Company,41.99708122734857000000
2003,Adaro Energy,Investor-owned Company,45.42953498150687000000
2004,Adaro Energy,Investor-owned Company,49.06389778002742000000
2005,Adaro Energy,Investor-owned Company,53.90971484472148500000
2006,Adaro Energy,Investor-owned Company,69.45671126061494000000
2007,Adaro Energy,Investor-owned Company,72.88916501477324000000
2008,Adaro Energy,Investor-owned Company,77.73498207946731000000
2009,Adaro Energy,Investor-owned Company,81.97507201107462000000
2010,Adaro Energy,Investor-owned Company,85.20561672087067000000
2011,Adaro Energy,Investor-owned Company,96.31061416079457000000
2012,Adaro Energy,Investor-owned Company,95.30106893898329000000
2013,Adaro Energy,Investor-owned Company,105.59843020145817000000
2014,Adaro Energy,Investor-owned Company,113.47288293158606000000
2015,Adaro Energy,Investor-owned Company,103.98315784656018000000
